IP:Port,Latency (ms)
132.145.94.80:443,80.95
103.137.63.3:443,97.57
162.159.153.126:443,107.11
162.159.152.84:443,107.66
162.159.130.87:443,107.68
220.135.202.250:81,141.21
106.240.1.52:20443,145.11
210.61.97.241:81,148.38
108.162.193.190:2096,156.19
162.159.153.207:443,167.58
168.138.46.67:443,176.75
104.17.248.43:443,179.01
172.67.204.145:2053,184.96
27.50.49.47:2083,190.37
104.17.232.44:443,194.07
167.68.4.131:8443,195.91
172.67.145.220:443,196.04
172.66.47.153:443,196.91
103.116.7.152:2096,197.33
154.211.8.47:2096,198.40
108.165.152.219:443,198.46
27.50.48.18:2087,199.86
103.116.7.230:443,200.32
172.67.115.145:443,201.20
172.64.94.142:443,201.49
104.19.90.169:443,201.84
108.165.152.91:2083,202.09
156.238.18.123:443,202.20
173.245.59.141:443,202.31
198.41.199.43:443,202.39
92.243.75.49:2087,203.17
103.116.7.133:2083,203.36
172.64.35.66:443,203.80
172.66.45.80:443,204.86
27.50.48.115:2087,204.86
172.67.237.176:443,205.29
destiny.ns.cloudflare.com:443,205.44
27.50.49.208:443,205.48
141.101.121.190:443,205.91
173.245.49.146:443,205.94
103.116.7.248:443,206.06
104.19.57.183:2096,206.34
92.243.74.2:8443,206.35
104.129.166.131:8443,206.61
141.101.123.123:443,206.70
104.19.60.104:2096,206.88
103.116.7.103:2083,206.93
103.116.7.189:443,207.21
162.159.241.39:443,207.87
103.116.7.220:2096,208.00
104.16.235.171:443,208.27
103.116.7.235:443,208.58
108.162.196.125:443,209.00
104.19.107.190:2096,209.11
172.67.63.196:443,210.39
103.116.7.100:2087,210.41
198.41.217.4:443,210.52
172.67.105.97:443,210.70
103.116.7.67:2083,210.88
108.162.193.162:2053,211.29
141.101.122.220:443,211.43
188.114.99.216:443,211.49
92.243.74.239:8443,211.79
172.67.21.106:443,212.30
154.211.8.84:2083,213.19
154.211.8.155:443,214.41
104.19.57.203:8443,214.62
104.19.153.156:443,223.05
161.145.150.26:2087,224.13
104.16.218.9:443,224.31
cory.ns.cloudflare.com:443,225.72
216.24.57.1:2053,235.51
104.18.95.11:443,237.10
135.84.64.77:2096,237.53
104.18.249.29:443,237.94
135.84.74.254:2083,253.87
104.19.233.240:443,262.58
172.67.8.115:443,264.88
172.67.143.79:443,266.62
104.20.57.203:443,267.24
104.18.122.180:443,269.10
104.18.118.229:443,269.87
91.239.148.133:443,272.14
104.21.29.10:443,274.01
217.25.95.175:443,296.37
45.85.210.234:25463,299.66
106.242.64.238:30015,307.49
61.84.74.108:30017,319.99
217.30.10.55:443,327.82
172.67.210.4:2083,360.04
172.67.216.101:443,405.43
